state,x,y
Ladakh,-138,175
Jammu And Kashmir,-191,163
Himachal Pradesh,-135,132
Punjab,-173,115
Uttarakhand,-105,102
Harayana,-158,96
Delhi,-138,86
Rajasthan,-228,63
Uttar Pradesh,-55,63
Bihar,69,46
Sikkim,143,73
Puducherry,-81,-164
Assam,214,58
Arunachal Pradesh,283,91
Nagaland,299,60
Manipur,283,40
Mizoram,259,18
Tripura,231,23
Meghalaya,199,47
West Bengal,134,12
Jharkhand,62,15
Orrisa,43,-24
Chhatisgarh,-22,-19
Madhya Pradesh,-124,12
Gujarat,-277,16
Maharastra,-205,-44
Telangana,-96,-67
Andhra Pradesh,-96,-109
Tamil Nadu,-117,-152
Karnataka,-189,-108
Kerala,-169,-169
Goa,-229,-102
Andaman And Nicobar Islands,241,-168
Lakshadweep,-296,-178
Dadra and Nagar Haveli And Daman and Diu,-293,-19
Chandigarh,-175,128
